RANK,COUNTRY,"2022SCORE","2020SCORE","VARIATION INSCORE","2020RANK","VARIATION INRANK","RELIGIONINDICATORS","BIOETHICALINDICATORS","DRUGSINDICATORS","SEXUALITYINDICATORS","GENDERINDICATORS","OVERALL MORAL FREEDOMCLASSIFICATION"
1,Portugal,"95,18","95,43","-0,26",2.0,1.0,"93,38","94,38","98,13","100,00","90,00",HIGHEST
2,"Netherlands, The","94,69","95,44","-0,75",1.0,-1.0,"93,38","95,00","97,59","97,50","90,00",HIGHEST
3,Belgium,"90,07","90,82","-0,75",4.0,1.0,"94,25","95,00","73,58","97,50","90,00",HIGHEST
4,Uruguay,"89,99","89,99","0,00",5.0,1.0,"97,13","78,75","88,08","100,00","86,00",VERY HIGH
5,Canada,"88,44","91,94","-3,50",3.0,-2.0,"99,57","95,00","94,65","65,00","88,00",VERY HIGH
6,Luxembourg,"86,86","87,61","-0,75",6.0,0.0,"93,38","80,00","73,43","97,50","90,00",VERY HIGH
7,Spain,"86,55","86,05","0,50",8.0,1.0,"93,38","75,00","76,89","97,50","90,00",VERY HIGH
8,Australia,"86,55","82,80","3,75",15.0,7.0,"98,41","94,38","72,45","77,50","90,00",VERY HIGH
9,Switzerland,"86,28","83,28","3,00",13.0,4.0,"93,38","75,00","77,54","97,50","88,00",VERY HIGH
10,Austria,"84,18","86,06","-1,88",7.0,-3.0,"88,63","68,75","73,53","100,00","90,00",VERY HIGH
11,Italy,"83,86","84,61","-0,75",10.0,-1.0,"93,08","68,75","92,49","100,00","65,00",VERY HIGH
12,Germany,"83,78","84,53","-0,75",11.0,-1.0,"93,08","75,00","60,85","100,00","90,00",VERY HIGH
13,Colombia,"83,40","81,15","2,25",16.0,3.0,"92,21","63,75","75,06","100,00","86,00",VERY HIGH
14,New Zealand,"83,32","76,45","6,87",19.0,5.0,"97,13","95,00","36,99","97,50","90,00",VERY HIGH
15,Denmark,"81,51","83,39","-1,88",12.0,-3.0,"87,75","88,75","39,06","100,00","92,00",VERY HIGH
16,Czech Republic,"81,33","83,21","-1,88",14.0,-2.0,"89,63","67,50","97,05","100,00","52,50",VERY HIGH
17,Mexico,"80,76","85,14","-4,38",9.0,-8.0,"82,25","67,50","96,06","70,00","88,00",VERY HIGH
18,South Africa,"79,62","74,62","5,00",23.0,5.0,"96,25","82,50","88,38","45,00","86,00",HIGH
19,Slovenia,"78,22","76,47","1,75",18.0,-1.0,"92,38","68,75","56,47","100,00","73,50",HIGH
20,Croatia,"75,54","73,04","2,50",29.0,9.0,"92,38","62,50","73,82","65,00","84,00",HIGH
21,Finland,"74,82","75,57","-0,75",21.0,0.0,"92,38","37,50","56,71","97,50","90,00",HIGH
22,Chile,"74,18","72,43","1,75",30.0,8.0,"90,50","26,88","71,52","100,00","82,00",HIGH
23,Estonia,"73,77","72,02","1,75",32.0,9.0,"93,66","62,50","37,20","100,00","75,50",HIGH
24,Argentina,"72,82","77,82","-5,00",17.0,-7.0,"88,17","26,88","71,55","82,50","95,00",HIGH
25,Brazil,"72,59","74,46","-1,87",24.0,-1.0,"86,29","30,63","56,03","100,00","90,00",HIGH
