"Country or Area","Year","Value","Value Footnotes"
"Albania","2019","30.8","1"
"Albania","2018","30.1","1"
"Albania","2017","33.1","1"
"Albania","2016","33.7","1"
"Albania","2015","32.8","1"
"Albania","2014","34.6","1"
"Albania","2012","29","2"
"Albania","2008","30","2"
"Albania","2005","30.6","2"
"Albania","2002","31.7","2"
"Albania","1996","27","3"
"Algeria","2011","27.6","4"
"Algeria","1995","35.3","5"
"Algeria","1988","40.2","6"
"Angola","2018","51.3","7"
"Angola","2008","42.7","8"
"Angola","2000","52","1"
"Argentina","2020","42.3","9"
"Argentina","2019","42.9","9"
"Argentina","2018","41.3","9"
"Argentina","2017","41.1","9"
"Argentina","2016","42","9"
"Argentina","2014","41.6","9"
"Argentina","2013","40.9","9"
"Argentina","2012","41.3","9"
"Argentina","2011","42.6","9"
"Argentina","2010","43.6","9"
"Argentina","2009","43.7","9"
"Argentina","2008","44.9","9"
"Argentina","2007","46.2","9"
"Argentina","2006","46.3","9"
"Argentina","2005","47.7","9"
"Argentina","2004","48.4","9"
"Argentina","2003","50.9","9"
"Argentina","2002","53.8","10"
"Argentina","2001","53.3","10"
"Argentina","2000","51.1","10"
"Argentina","1999","49.8","10"
"Argentina","1998","50.7","10"
"Argentina","1997","49.1","10"
"Argentina","1996","49.5","10"
"Argentina","1995","48.9","10"
"Argentina","1994","45.9","10"
"Argentina","1993","44.9","10"
"Argentina","1992","45.5","10"
"Argentina","1991","46.8","10"
"Argentina","1987","45.3","10"
"Argentina","1986","42.8","10"
"Argentina","1980","40.8","11"
"Armenia","2020","25.2","12"
"Armenia","2019","29.9","12"
"Armenia","2018","34.4","12"
"Armenia","2017","33.6","12"
"Armenia","2016","32.5","12"
"Armenia","2015","32.4","12"
"Armenia","2014","31.5","12"
"Armenia","2013","30.6","12"
"Armenia","2012","29.6","12"
"Armenia","2011","29.4","12"
"Armenia","2010","30","12"
"Armenia","2009","28","12"
"Armenia","2008","29.2","12"
"Armenia","2007","31.2","12"
"Armenia","2006","29.7","12"
"Armenia","2005","36","12"
"Armenia","2004","37.5","12"
"Armenia","2003","33","12"
"Armenia","2002","34.8","12"
"Armenia","2001","35.4","12"
"Armenia","1999","36.2","12"
"Australia","2018","34.3","13"
"Australia","2016","33.7","13"
"Australia","2014","34.4","13"
"Australia","2010","34.7","14"
"Australia","2008","35.4","13"
"Australia","2004","33.1","14"
"Australia","2003","33.5","13"
"Australia","2001","33.5","13"
"Australia","1995","32.6","13"
"Australia","1989","33.2","13"
"Australia","1985","32.5","15"
"Australia","1981","31.3","16"
"Austria","2019","30.2","17"
"Austria","2018","30.8","17"
"Austria","2017","29.7","17"
"Austria","2016","30.8","17"
"Austria","2015","30.5","17"
"Austria","2014","30.5","17"
"Austria","2013","30.8","17"
