"Data Source","World Development Indicators",

"Last Updated Date","2023-07-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.8039327922487","63.9675306328365","64.1613201342216","64.2704895716553","64.4747307505676","64.8138084744138","64.9565549887982","65.0261160687714","65.1186498711293","65.2381669033382","65.3601727595471","65.4683971766203","65.6617661358325","65.8630235204292","66.0495413645835","66.2409308039264","66.1332596221823","65.9067465868753","65.6809179239645","65.2732130540869","64.4910260055096","64.5965610762072","64.3477772457322","64.3919978554855","64.2992712783337","64.4998265065979","64.5640121949045","64.7699726675363","64.643364045258","64.7664853667801","63.7563075490832","64.4344332941055","64.9831131452704",
"Afghanistan","AFG","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.602","15.676","15.735","15.747","15.752","15.811","15.652","15.501","15.392","15.32","15.265","15.388","15.556","15.736","15.908","16.071","15.876","15.69","15.539","15.457","15.466","15.784","16.186","17.118","18.088","19.096","20.141","21.227","21.583","21.944","16.463","","",
"Africa Western and Central","AFW","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.9008025539721","59.8673921057452","59.7875990665062","59.7386097785731","59.690009861129","59.6585932334979","59.598366619387","59.5541683103607","59.5232327680677","59.5138568050212","59.50527844008","59.4532693445168","59.404428849412","59.3030412011428","59.2207793672994","59.0981934552621","58.9466546718726","58.8470900479383","58.6161577242821","58.3781716798716","58.133156511382","57.979903902047","56.5467913538306","55.099319377474","54.8324192935365","54.7704370900632","54.8133568509054","54.5571854492833","54.5465815631796","54.6154327215081","53.7959818015118","54.0919406616769","54.620941796033",
"Angola","AGO","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.495","75.474","75.466","75.47","75.485","75.507","75.502","75.51","75.53","75.559","75.594","75.598","75.612","75.63","75.65","75.666","75.65","75.639","75.631","75.625","75.625","74.873","74.86","74.857","74.863","74.878","74.891","74.914","74.948","74.993","74.28","74.464","74.884",
"Albania","ALB","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.289","54.434","55.197","54.196","53.359","52.138","51.335","52.348","51.553","50.497","49.932","49.279","48.945","48.332","47.726","47.131","46.548","45.978","45.421","45.847","46.735","52.468","48.821","43.66","43.818","46.989","49.763","49.609","51.284","52.815","49.62","51.653","52.27",
"Andorra","AND","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.149524033237","19.2443048178977","19.6146557697049","19.5763729641708","19.9556405466038","19.8230951529485","19.7676923887251","19.6417532394574","19.551623070483","20.048628009678","20.1367441403891","20.049038556325","19.3991908223132","19.6298363910816","19.8320329436766","20.0494511312193","20.3315085954303","20.905306728556","20.5348323441202","20.7431472270495","20.8602108690968","20.8913925522437","20.9309381399778","21.234949458262","21.2266179299808","21.4843122101385","21.7278806040662","21.0117059906949","20.1896829325521","19.8060118456329","19.4200906977135","19.2038676331122","19.6683844564508",
"United Arab Emirates","ARE","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.766","29.486","30.017","30.697","30.976","31.258","31.803","32.174","32.579","33.043","33.584","34.223","34.959","35.784","36.681","37.471","38.355","39.129","39.993","41.069","42.382","43.815","45.236","46.648","48.052","49.442","50.805","52.774","52.952","56.797","60.992","52.789","54.853",
"Argentina","ARG","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.871","46.221","47.421","48.696","49.577","48.91","49.729","50.983","51.51","50.731","50.426","49.461","47.228","48.569","49.954","49.094","49.735","48.899","48.063","48.788","47.693","47.949","48.056","47.65","47.429","47.512","47.598","47.685","49.165","50.02","46.506","50.283","50.828",
