Entity,Code,Year,under_1ha_area,1-2ha_area,2-5ha_area,5-10ha_area,10-20ha_area,20-50ha_area,50-100ha_area,100-200ha_area,200-500ha_number,500-1000ha_number,over_1000ha_area
Albania,ALB,1998,128508,198921,1562069,,,,,,,,
Algeria,DZA,2001,70516,162315,722275,1200598,1896466,2484971,930765,532146,1242,,
American Samoa,ASM,2003,1511,2245,2352,1097,483,261,,,,,
Argentina,ARG,1988,,,148000,247140,612991,2053096,3646960,6929412,47772,21101,133639103
Australia,AUS,1990,,,,,,,,,27615,19924,
Austria,AUT,2000,,148860,357340,656790,1208900,1636300,650490,2145930,,,
Bahamas,BHS,1994,290,584,1025,872,966,1456,15143,,,,
Barbados,BRB,1989,2146,660,552,294,366,669,1938,4680,34,1,
Belgium,BEL,2000,,12380,30860,62870,153600,551060,425130,190880,,,
Brazil,BRA,1996,280956,637186,2543527,4420526,9799204,25438629,27455753,32919190,165243,58407,159493948
Bulgaria,BGR,2003,192600,,241900,,,191100,2278900,,,,
Burkina Faso,BFA,1993,62504,256963,1201476,1274404,677133,,,,,,
Canada,CAN,1991,,,,,,,,,58577,35443,
Chile,CHL,1997,20944,43145,174216,355137,672098,1363334,1290506,1356763,6475,2355,17616042
Colombia,COL,2001,191820,387632,1356816,2042050,3127283,6884453,7487517,7566533,40797,11669,
Cook Islands,COK,2000,445,301,283,,,,,,,,
Cote d'Ivoire,CIV,2001,202483,235993,672454,967115,1178444,1095174,,,,,
Croatia,HRV,2003,81982,103484,276780,294253,210401,424722,,,,,
Cyprus,CYP,2002,9954,10633,22554,19652,21197,25723,17951,28716,,,
Czechia,CZE,2000,5137,11924,29879,43318,74474,134779,128596,154665,902,752,2215504
Democratic Republic of Congo,COD,1990,1500400,552500,334800,,,,,,,,
Denmark,DNK,2000,,3140,5350,79990,185360,599480,853950,1151460,,,
Dominica,DMA,1995,1783,3196,4618,2942,1181,2119,2112,1902,5,,
Ecuador,ECU,2000,95834,156016,522375,688987,1017807,2372027,2242409,1666879,6616,,
Egypt,EGY,2000,1403153,665914,684168,353250,236010,408204,,,,,
Estonia,EST,2001,4694,19631,52658,76356,107814,125751,66346,422549,,,
Ethiopia,ETH,2002,2993645,3682947,3605515,612070,153072,,,,,,
Fiji,FJI,1991,11358,16132,65189,87283,85334,98141,95471,132499,,,
Finland,FIN,2000,,62800,168550,416110,1092980,2500220,1196790,428080,,,
France,FRA,2000,,212000,395120,564790,1250550,5176970,9148280,13149960,,,
French Guiana,GUF,1989,392,1791,5189,1751,911,10608,,,,,
French Polynesia,PYF,1995,1561,1003,1097,898,857,13118,,,,,
Georgia,GEO,2004,213266,207570,108584,42663,35453,35833,33029,42393,236,78,
Germany,DEU,2000,,63885,410018,714453,1578673,4270457,4078209,2322179,4787,1599,2936925
Greece,GRC,2000,,442040,797380,791000,739860,707980,225720,171200,,,
Grenada,GRD,1995,2583,1950,2791,1598,980,4262,,,,,
Guadeloupe,GLP,1989,2409,5926,15393,7539,3489,11984,,,,,
Guam,GUM,2002,18,27,119,142,117,243,,,,,
Guatemala,GTM,2003,435318,251735,359828,345045,200284,1353840,121327,109198,203,171,158837
Guinea,GIN,1995,87884,200059,375193,232484,,,,,,,
Honduras,HND,1993,,,280531,249098,369364,2738476,,,,,
India,IND,2001,29806000,32129000,49788000,26579000,13220000,7872000,,,,,
Indonesia,IDN,1993,5105398,4254082,5754989,1442915,587652,,,,,,
Iran,IRN,2003,407070,655129,2377091,3230892,3788275,3736337,1547657,836590,2021,312,345308
Ireland,IRL,2000,,5210,37360,141680,543020,1864840,1366740,756120,,,
Italy,ITA,2000,472729,696959,1674692,1831387,2200929,3155271,2136698,7438429,,,
Jamaica,JAM,1996,43459,38215,63762,26217,17732,23774,18319,23165,205,,
Japan,JPN,1995,1037000,948000,894000,316000,287000,423000,215000,,,,
Jordan,JOR,1997,12003,60857,41892,41032,48787,25734,18871,29413,,,
Kyrgyzstan,KGZ,2002,107686,99503,202144,124305,104293,120590,49839,42044,231,171,259382
Laos,LAO,1999,133800,314800,599100,,,,,,,,
Latvia,LVA,2001,,16100,117800,285800,626500,1113100,645300,337100,689,230,
Lebanon,LBN,1998,48648,37716,62649,23517,26246,26518,22646,,,,
Lithuania,LTU,2003,100,32000,407700,443700,520700,504600,244000,183200,617,309,
Luxembourg,LUX,2000,,450,1170,2170,3700,21070,69700,39340,,,
Malta,MLT,2001,3196,2404,2805,931,320,,,,,,
Martinique,MTQ,1989,3181,2931,7286,4212,3346,16217,,,,,
Morocco,MAR,1996,170361,420577,1495239,1894722,1880472,1526298,585157,759397,,,
Mozambique,MOZ,2000,,,,,,,,,21,11,
Myanmar,MMR,2003,478102,1181560,3239363,2496993,1105838,219259,,,,,
Namibia,NAM,1997,8477,38199,159865,72595,11901,3215,1380,,,,
Nepal,NPL,2002,1031944,791965,636171,139750,54207,,,,,,
Netherlands,NLD,2000,,22050,59780,123700,272710,954960,490220,315870,,,
