"","country","code","year","annual_water_use"
"1","Afghanistan","AFG",2023,"20280000000"
"2","Albania","ALB",2023,"1311000000"
"3","Algeria","DZA",2023,"9978000000"
"4","Angola","AGO",2023,"705800000"
"5","Antigua and Barbuda","ATG",2023,"11500000"
"6","Argentina","ARG",2023,"37780000000"
"7","Armenia","ARM",2023,"2847000000"
"8","Australia","AUS",2023,"16130000000"
"9","Austria","AUT",2023,"3492000000"
"10","Azerbaijan","AZE",2023,"12780000000"
"11","Bahrain","BHR",2023,"434400000"
"12","Bangladesh","BGD",2023,"35870000000"
"13","Barbados","BRB",2023,"81000000"
"14","Belarus","BLR",2023,"1452000000"
"15","Belgium","BEL",2023,"6005000000"
"16","Belize","BLZ",2023,"101000000"
"17","Benin","BEN",2023,"130000000"
"18","Bhutan","BTN",2023,"338000000"
"19","Bolivia","BOL",2023,"2088000000"
"20","Bosnia and Herzegovina","BIH",2023,"327900000"
"21","Botswana","BWA",2023,"201300000"
"22","Brazil","BRA",2023,"63500000000"
"23","Bulgaria","BGR",2023,"5629000000"
"24","Burkina Faso","BFA",2023,"818000000"
"25","Burundi","BDI",2023,"288000000"
"26","Côte d'Ivoire",NA,2023,"1162000000"
"27","Cabo Verde","CPV",2023,"22000000"
"28","Cambodia","KHM",2023,"2184000000"
"29","Cameroon","CMR",2023,"966400000"
"30","Canada","CAN",2023,"35730000000"
"31","Central African Republic","CAF",2023,"72500000"
"32","Chad","TCD",2023,"879600000"
"33","Chile","CHL",2023,"35430000000"
"34","China","CHN",2023,"5,981E+11"
"35","Colombia","COL",2023,"11770000000"
"36","Comoros","COM",2023,"10000000"
"37","Congo","COG",2023,"46000000"
"38","Costa Rica","CRI",2023,"3194000000"
"39","Croatia","HRV",2023,"633800000"
"40","Cuba","CUB",2023,"6959000000"
"41","Cyprus","CYP",2023,"317000000"
"42","Czech Republic (Czechia)","CZE",2023,"1635000000"
"43","Denmark","DNK",2023,"652000000"
"44","Djibouti","DJI",2023,"19000000"
"45","Dominica","DMA",2023,"20000000"
"46","Dominican Republic","DOM",2023,"7156000000"
"47","DR Congo","COD",2023,"683600000"
"48","Ecuador","ECU",2023,"9918000000"
"49","Egypt","EGY",2023,"77500000000"
"50","El Salvador","SLV",2023,"2118000000"
"51","Equatorial Guinea","GNQ",2023,"17400000"
"52","Eritrea","ERI",2023,"582000000"
"53","Estonia","EST",2023,"1720000000"
"54","Eswatini","SWZ",2023,"1042000000"
"55","Ethiopia","ETH",2023,"10550000000"
"56","Fiji","FJI",2023,"84900000"
"57","Finland","FIN",2023,"6562000000"
"58","France","FRA",2023,"29370000000"
"59","Gabon","GAB",2023,"139100000"
"60","Gambia","GMB",2023,"90500000"
"61","Georgia","GEO",2023,"1823000000"
"62","Germany","DEU",2023,"25330000000"
"63","Ghana","GHA",2023,"982000000"
"64","Greece","GRC",2023,"9630000000"
"65","Grenada","GRD",2023,"14100000"
"66","Guatemala","GTM",2023,"3324000000"
"67","Guinea","GIN",2023,"553300000"
"68","Guinea-Bissau","GNB",2023,"175000000"
"69","Guyana","GUY",2023,"1445000000"
"70","Haiti","HTI",2023,"1450000000"
"71","Honduras","HND",2023,"1607000000"
"72","Hungary","HUN",2023,"5051000000"
"73","Iceland","ISL",2023,"278300000"
"74","India","IND",2023,"7,61E+11"
"75","Indonesia","IDN",2023,"2,226E+11"
"76","Iran","IRN",2023,"93300000000"
"77","Iraq","IRQ",2023,"38550000000"
"78","Ireland","IRL",2023,"757000000"
"79","Israel","ISR",2023,"1954000000"
