"","country","code","lower_house_elections","lower_house_seats","lower_house_women","lower_house_percentage_w","upper_chamber_elections","upper_chamber_seats","upper_chamber_women","upper_chamber_percentage_w"
"1","Rwanda","RWA","09.2018",80,49,61.3,"09.2011",26,10,38.5
"2","Cuba","CUB","03.2018",605,322,53.2,"03.2018",117.2,41.6,37.54
"3","Bolivia (Plurinational State of)","BOL","10.2014",130,69,53.1,"10.2014",36,17,47.2
"4","Mexico","MEX","07.2018",500,241,48.2,"07.2018",128,63,49.2
"5","Sweden","SWE","09.2018",349,165,47.3,"06.2016",100.8,39.4,36.6
"6","Grenada","GRD","03.2018",15,7,46.7,"04.2018",13,4,30.8
"7","Namibia","NAM","11.2014",104,48,46.2,"12.2015",42,10,23.8
"8","Costa Rica","CRI","02.2018",57,26,45.6,"10.2014",38,15,38.26
"9","Nicaragua","NIC","11.2016",92,41,44.6,"05.2014",33.4,12,31.9
"10","South Africa","ZAF","05.2014",393,168,42.8,"05.2014",54,19,35.2
"11","Senegal","SEN","07.2017",165,69,41.8,"12.2015",60.8,20.2,32.74
"12","Finland","FIN","04.2015",200,83,41.5,"10.2017",106,39,36.94
"13","Spain","ESP","06.2016",350,144,41.1,"06.2016",266,98,36.8
"14","Norway","NOR","09.2017",169,69,40.8,"12.2015",60.2,24.6,41.28
"15","New Zealand","NZL","09.2017",120,48,40,"12.2015",57,22,39.02
"16","France","FRA","06.2017",577,229,39.7,"09.2017",348,112,32.2
"17","Mozambique","MOZ","10.2014",250,99,39.6,"10.2014",52,20.6,38.82
"18","Argentina","ARG","10.2017",255,99,38.8,"10.2017",72,30,41.7
"19","Ethiopia","ETH","05.2015",547,212,38.8,"10.2015",153,49,32
"20","North Macedonia","MKD","12.2016",120,46,38.3,"03.2018",72.4,18.6,30.34
"21","Iceland","ISL","10.2017",63,24,38.1,"07.2015",97,23.6,24.94
"22","Belgium","BEL","05.2014",150,57,38,"05.2014",60,26,43.3
"23","Ecuador","ECU","02.2017",137,52,38,"05.2015",57.6,22.6,39.54
"24","Serbia","SRB","04.2016",247,93,37.7,"05.2014",66.4,27,40.44
"25","Denmark","DNK","06.2015",179,67,37.4,"10.2015",55.6,20.6,36.5
"26","Austria","AUT","10.2017",183,68,37.2,"10.2018",61,22,36.1
"27","United Republic of Tanzania","TZA","10.2015",393,145,36.9,"10.2015",120.4,36.4,25.84
"28","Burundi","BDI","06.2015",121,44,36.4,"07.2015",39,18,46.2
"29","Tunisia","TUN","10.2014",217,78,35.9,"10.2014",46.8,16,33.52
"30","Italy","ITA","03.2018",630,225,35.7,"03.2018",320,110,34.4
"31","Portugal","PRT","10.2015",230,82,35.7,"10.2015",79.4,21.2,25.7
"32","Uganda","UGA","02.2016",459,160,34.9,"10.2015",153.4,49,27.8
"33","Belarus","BLR","09.2016",110,38,34.6,"09.2016",56,17,30.4
"34","Timor-Leste","TLS","05.2018",65,22,33.9,"05.2015",42.8,13.4,33.92
"35","Monaco","MCO","02.2018",24,8,33.3,"09.2015",55.4,20.6,37.52
"36","Nepal","NPL","11.2017",275,90,32.7,"02.2018",59,22,37.3
"37","Switzerland","CHE","10.2015",200,65,32.5,"10.2015",46,7,15.2
"38","Andorra","AND","03.2015",28,9,32.1,"03.2015",60.6,13.8,26.04
"39","United Kingdom","GBR","06.2017",650,208,32,"09.2017",789,208,26.4
"40","Guyana","GUY","05.2015",69,22,31.9,"09.2016",78.2,26.8,34.68
"41","Zimbabwe","ZWE","07.2018",270,86,31.9,"07.2018",80,35,43.8
