"","country","code","year","gini_index"
"1","Albania","ALB","2019",30.8
"2","Albania","ALB","2018",30.1
"3","Albania","ALB","2017",33.1
"4","Albania","ALB","2016",33.7
"5","Albania","ALB","2015",32.8
"6","Albania","ALB","2014",34.6
"7","Albania","ALB","2012",29
"8","Albania","ALB","2008",30
"9","Albania","ALB","2005",30.6
"10","Albania","ALB","2002",31.7
"11","Algeria","DZA","2011",27.6
"12","Angola","AGO","2018",51.3
"13","Angola","AGO","2008",42.7
"14","Argentina","ARG","2020",42.3
"15","Argentina","ARG","2019",42.9
"16","Argentina","ARG","2018",41.3
"17","Argentina","ARG","2017",41.1
"18","Argentina","ARG","2016",42
"19","Argentina","ARG","2014",41.6
"20","Argentina","ARG","2013",40.9
"21","Argentina","ARG","2012",41.3
"22","Argentina","ARG","2011",42.6
"23","Argentina","ARG","2010",43.6
"24","Argentina","ARG","2009",43.7
"25","Argentina","ARG","2008",44.9
"26","Argentina","ARG","2007",46.2
"27","Argentina","ARG","2006",46.3
"28","Argentina","ARG","2005",47.7
"29","Argentina","ARG","2004",48.4
"30","Argentina","ARG","2003",50.9
"31","Argentina","ARG","2002",53.8
"32","Argentina","ARG","2001",53.3
"33","Armenia","ARM","2020",25.2
"34","Armenia","ARM","2019",29.9
"35","Armenia","ARM","2018",34.4
"36","Armenia","ARM","2017",33.6
"37","Armenia","ARM","2016",32.5
"38","Armenia","ARM","2015",32.4
"39","Armenia","ARM","2014",31.5
"40","Armenia","ARM","2013",30.6
"41","Armenia","ARM","2012",29.6
"42","Armenia","ARM","2011",29.4
"43","Armenia","ARM","2010",30
"44","Armenia","ARM","2009",28
"45","Armenia","ARM","2008",29.2
"46","Armenia","ARM","2007",31.2
"47","Armenia","ARM","2006",29.7
"48","Armenia","ARM","2005",36
"49","Armenia","ARM","2004",37.5
"50","Armenia","ARM","2003",33
"51","Armenia","ARM","2002",34.8
"52","Armenia","ARM","2001",35.4
"53","Australia","AUS","2018",34.3
"54","Australia","AUS","2016",33.7
"55","Australia","AUS","2014",34.4
"56","Australia","AUS","2010",34.7
"57","Australia","AUS","2008",35.4
"58","Australia","AUS","2004",33.1
"59","Australia","AUS","2003",33.5
"60","Australia","AUS","2001",33.5
"61","Austria","AUT","2019",30.2
"62","Austria","AUT","2018",30.8
"63","Austria","AUT","2017",29.7
"64","Austria","AUT","2016",30.8
"65","Austria","AUT","2015",30.5
"66","Austria","AUT","2014",30.5
"67","Austria","AUT","2013",30.8
"68","Austria","AUT","2012",30.5
"69","Austria","AUT","2011",30.8
"70","Austria","AUT","2010",30.3
"71","Austria","AUT","2009",31.5
"72","Austria","AUT","2008",30.4
"73","Austria","AUT","2007",30.6
"74","Austria","AUT","2006",29.6
"75","Austria","AUT","2005",28.7
"76","Austria","AUT","2004",29.8
"77","Austria","AUT","2003",29.5
"78","Azerbaijan","AZE","2005",26.6
"79","Azerbaijan","AZE","2004",26.6
"80","Azerbaijan","AZE","2003",26.8
"81","Azerbaijan","AZE","2002",25.3
"82","Azerbaijan","AZE","2001",36.5
"83","Bangladesh","BGD","2016",32.4
"84","Bangladesh","BGD","2010",32.1
"85","Bangladesh","BGD","2005",33.2
"86","Belarus","BLR","2020",24.4
"87","Belarus","BLR","2019",25.3
"88","Belarus","BLR","2018",25.2
"89","Belarus","BLR","2017",25.4
"90","Belarus","BLR","2016",25.3
"91","Belarus","BLR","2015",25.6
"92","Belarus","BLR","2014",27.2
"93","Belarus","BLR","2013",26.6
"94","Belarus","BLR","2012",26.5
"95","Belarus","BLR","2011",27.2
"96","Belarus","BLR","2010",28.6
"97","Belarus","BLR","2009",27.7
"98","Belarus","BLR","2008",27.8
"99","Belarus","BLR","2007",29.6
"100","Belarus","BLR","2006",28.3
"101","Belarus","BLR","2005",27.6
"102","Belarus","BLR","2004",26.5
"103","Belarus","BLR","2003",28.8
"104","Belarus","BLR","2002",30.3
"105","Belarus","BLR","2001",30.6
"106","Belgium","BEL","2019",27.2
"107","Belgium","BEL","2018",27.2
"108","Belgium","BEL","2017",27.4
"109","Belgium","BEL","2016",27.6
"110","Belgium","BEL","2015",27.7
"111","Belgium","BEL","2014",28.1
"112","Belgium","BEL","2013",27.7
"113","Belgium","BEL","2012",27.5
"114","Belgium","BEL","2011",28.1
"115","Belgium","BEL","2010",28.4
"116","Belgium","BEL","2009",28.6
"117","Belgium","BEL","2008",28.4
"118","Belgium","BEL","2007",29.2
"119","Belgium","BEL","2006",28.1
"120","Belgium","BEL","2005",29.3
"121","Belgium","BEL","2004",30.5
"122","Belgium","BEL","2003",28.1
"123","Benin","BEN","2018",37.8
"124","Benin","BEN","2015",47.8
"125","Benin","BEN","2011",43.4
"126","Benin","BEN","2003",38.6
"127","Bhutan","BTN","2017",37.4
"128","Bhutan","BTN","2012",38.8
"129","Bhutan","BTN","2007",38.1
"130","Bhutan","BTN","2003",40.9
"131","Bolivia","BOL","2020",43.6
"132","Bolivia","BOL","2019",41.6
"133","Bolivia","BOL","2018",42.6
"134","Bolivia","BOL","2017",44.6
"135","Bolivia","BOL","2016",45.3
"136","Bolivia","BOL","2015",46.7
"137","Bolivia","BOL","2014",47.8
"138","Bolivia","BOL","2013",47.6
"139","Bolivia","BOL","2012",46.6
"140","Bolivia","BOL","2011",46.1
"141","Bolivia","BOL","2009",49.2
"142","Bolivia","BOL","2008",50.8
"143","Bolivia","BOL","2007",54.5
"144","Bolivia","BOL","2006",56.7
"145","Bolivia","BOL","2005",58.5
"146","Bolivia","BOL","2004",55
"147","Bolivia","BOL","2002",59.3
"148","Bolivia","BOL","2001",57.4
"149","Bosnia and Herzegovina","BIH","2011",33
"150","Bosnia and Herzegovina","BIH","2007",33.1
