"","country","code","hdi_2021"
"1","Switzerland","CHE",0.962
"2","Norway","NOR",0.961
"3","Iceland","ISL",0.959
"4","Hong Kong, China (SAR)","HKG",0.952
"5","Australia","AUS",0.951
"6","Denmark","DNK",0.948
"7","Sweden","SWE",0.947
"8","Ireland","IRL",0.945
"9","Germany","DEU",0.942
"10","Netherlands","NLD",0.941
"11","Finland","FIN",0.94
"12","Singapore","SGP",0.939
"13","Belgium","BEL",0.937
"14","New Zealand","NZL",0.937
"15","Canada","CAN",0.936
"16","Liechtenstein","LIE",0.935
"17","Luxembourg","LUX",0.93
"18","United Kingdom","GBR",0.929
"19","Japan","JPN",0.925
"20","Korea (Republic of)","KOR",0.925
"21","United States","USA",0.921
"22","Israel","ISR",0.919
"23","Malta","MLT",0.918
"24","Slovenia","SVN",0.918
"25","Austria","AUT",0.916
"26","United Arab Emirates","ARE",0.911
"27","Spain","ESP",0.905
"28","France","FRA",0.903
"29","Cyprus","CYP",0.896
"30","Italy","ITA",0.895
"31","Estonia","EST",0.89
"32","Czechia","CZE",0.889
"33","Greece","GRC",0.887
"34","Poland","POL",0.876
"35","Bahrain","BHR",0.875
"36","Lithuania","LTU",0.875
"37","Saudi Arabia","SAU",0.875
"38","Portugal","PRT",0.866
"39","Latvia","LVA",0.863
"40","Andorra","AND",0.858
"41","Croatia","HRV",0.858
"42","Chile","CHL",0.855
"43","Qatar","QAT",0.855
"44","San Marino","SMR",0.853
"45","Slovakia","SVK",0.848
"46","Hungary","HUN",0.846
"47","Argentina","ARG",0.842
"48","Türkiye","TUR",0.838
"49","Montenegro","MNE",0.832
"50","Kuwait","KWT",0.831
"51","Brunei Darussalam","BRN",0.829
"52","Russian Federation","RUS",0.822
"53","Romania","ROU",0.821
"54","Oman","OMN",0.816
"55","Bahamas","BHS",0.812
"56","Kazakhstan","KAZ",0.811
"57","Trinidad and Tobago","TTO",0.81
"58","Costa Rica","CRI",0.809
"59","Uruguay","URY",0.809
"60","Belarus","BLR",0.808
"61","Panama","PAN",0.805
"62","Malaysia","MYS",0.803
"63","Georgia","GEO",0.802
"64","Mauritius","MUS",0.802
"65","Serbia","SRB",0.802
"66","Thailand","THA",0.8
"67","Albania","ALB",0.796
