"","country","code","year","prison_pop_rate"
"1","Afghanistan","AFG","2018",88
"2","Albania","ALB","2018",193
"3","Algeria","DZA","2018",146
"4","American Samoa","ASM","2018",337
"5","Andorra","AND","2018",69
"6","Angola","AGO","2018",93
"7","Anguilla","AIA","2018",307
"8","Antigua and Barbuda","ATG","2018",321
"9","Argentina","ARG","2018",186
"10","Armenia","ARM","2018",131
"11","Aruba","ABW","2018",165
"12","Australia","AUS","2018",167
"13","Austria","AUT","2018",98
"14","Azerbaijan","AZE","2018",235
"15","Bahamas","BHS","2018",438
"16","Bahrain","BHR","2018",234
"17","Bangladesh","BGD","2018",53
"18","Barbados","BRB","2018",300
"19","Belarus","BLR","2018",364
"20","Belgium","BEL","2018",91
"21","Belize","BLZ","2018",356
"22","Benin","BEN","2018",68
"23","Bermuda","BMU","2018",319
"24","Bhutan","BTN","2018",145
"25","Bolivia","BOL","2018",156
"26","Bosnia and Herzegovina","BIH","2018",73
"27","Bosnia and Herzegovina: Republika Srpska	","","2018",66
"28","Botswana","BWA","2018",208
"29","Brazil","BRA","2018",323
"30","British Virgin Islands","VGB","2018",470
"31","Brunei","BRN","2018",134
"32","Bulgaria","BGR","2018",125
"33","Burkina Faso","BFA","2018",41
"34","Burundi","BDI","2018",84
"35","Cambodia","KHM","2018",176
"36","Cameroon","CMR","2018",121
"37","Canada","CAN","2018",114
"38","Cape Verde","CPV","2018",298
"39","Cayman Islands","CYM","2018",393
"40","Central African Republic","CAF","2018",16
"41","Chad","TCD","2018",59
"42","Chile","CHL","2018",230
"43","China","CHN","2018",118
"44","Colombia","COL","2018",238
"45","Comoros","COM","2018",23
"46","Congo","COG","2018",27
"47","Cook Islands","COK","2018",229
"48","Costa Rica","CRI","2018",374
"49","Cote d'Ivoire","CIV","2018",66
"50","Croatia","HRV","2018",78
"51","Cuba","CUB","2018",510
"52","Curacao","CUW","2018",236
"53","Cyprus","CYP","2018",83
"54","Czechia","CZE","2018",206
"55","Democratic Republic of Congo","COD","2018",29
"56","Denmark","DNK","2018",59
"57","Djibouti","DJI","2018",66
"58","Dominica","DMA","2018",289
"59","Dominican Republic","DOM","2018",241
"60","East Timor","TLS","2018",51
"61","Ecuador","ECU","2018",222
"62","Egypt","EGY","2018",116
"63","El Salvador","SLV","2018",605
"64","England and Wales","","2018",140
"65","Equatorial Guinea","GNQ","2018",63
"66","Estonia","EST","2018",197
"67","Eswatini","SWZ","2018",282
