"","country","code","year","unemp_rate"
"1","Australia","AUS","2003",5.92842
"2","Australia","AUS","2004",5.396734
"3","Australia","AUS","2005",5.033881
"4","Australia","AUS","2006",4.78524
"5","Australia","AUS","2007",4.379151
"6","Australia","AUS","2008",4.23433
"7","Australia","AUS","2009",5.560385
"8","Australia","AUS","2010",5.21334
"9","Australia","AUS","2011",5.081195
"10","Australia","AUS","2012",5.223376
"11","Australia","AUS","2013",5.66194
"12","Australia","AUS","2014",6.077244
"13","Australia","AUS","2015",6.056423
"14","Australia","AUS","2016",5.710809
"15","Australia","AUS","2017",5.595881
"16","Australia","AUS","2018",5.30767
"17","Australia","AUS","2019",5.166878
"18","Australia","AUS","2020",6.463281
"19","Australia","AUS","2021",5.113611
"20","Australia","AUS","2022",3.705759
"21","Austria","AUT","2003",4.758333
"22","Austria","AUT","2004",5.891667
"23","Austria","AUT","2005",6.033333
"24","Austria","AUT","2006",5.641667
"25","Austria","AUT","2007",5.216667
"26","Austria","AUT","2008",4.441667
"27","Austria","AUT","2009",5.666667
"28","Austria","AUT","2010",5.191667
"29","Austria","AUT","2011",4.9
"30","Austria","AUT","2012",5.191667
"31","Austria","AUT","2013",5.725
"32","Austria","AUT","2014",6.033333
"33","Austria","AUT","2015",6.15
"34","Austria","AUT","2016",6.45
"35","Austria","AUT","2017",5.925
"36","Austria","AUT","2018",5.208333
"37","Austria","AUT","2019",4.841667
"38","Austria","AUT","2020",6.025
"39","Austria","AUT","2021",6.2
"40","Austria","AUT","2022",4.758333
"41","Belgium","BEL","2003",8.175
"42","Belgium","BEL","2004",8.391666
"43","Belgium","BEL","2005",8.433333
"44","Belgium","BEL","2006",8.25
"45","Belgium","BEL","2007",7.483333
"46","Belgium","BEL","2008",6.975
"47","Belgium","BEL","2009",7.991667
"48","Belgium","BEL","2010",8.375
"49","Belgium","BEL","2011",7.216667
"50","Belgium","BEL","2012",7.633333
"51","Belgium","BEL","2013",8.55
"52","Belgium","BEL","2014",8.658334
"53","Belgium","BEL","2015",8.65
"54","Belgium","BEL","2016",7.85
"55","Belgium","BEL","2017",7.1
"56","Belgium","BEL","2018",5.958333
"57","Belgium","BEL","2019",5.366667
"58","Belgium","BEL","2020",5.541667
"59","Belgium","BEL","2021",6.275
"60","Belgium","BEL","2022",5.575
"61","Canada","CAN","2003",7.575
"62","Canada","CAN","2004",7.191667
"63","Canada","CAN","2005",6.758333
"64","Canada","CAN","2006",6.466667
"65","Canada","CAN","2007",6.166667
"66","Canada","CAN","2008",6.291667
"67","Canada","CAN","2009",8.45
"68","Canada","CAN","2010",8.175
"69","Canada","CAN","2011",7.633333
"70","Canada","CAN","2012",7.4
"71","Canada","CAN","2013",7.15
